gene,invivo,invitro
IRF2BP2,ENST00000366609,ENST00000366609
IRS4,ENST00000372129,ENST00000372129
ISOC2,ENST00000438389,ENST00000438389
ITGAE,ENST00000572179,ENST00000572179
ITGB3BP,ENST00000492655,ENST00000492655
ITM2B,ENST00000378565,ENST00000378565
ITPA,ENST00000380113,ENST00000380113
JTB,ENST00000461365,ENST00000461365
JUND,ENST00000252818,ENST00000252818
KARS,ENST00000570215,ENST00000570215
KCTD3,ENST00000448333,ENST00000448333
KCTD5,,ENST00000301738
KHSRP,ENST00000594496,ENST00000594496
KIF2C,ENST00000372224,ENST00000372224
KPNA2,ENST00000582898,ENST00000582898
KRT10,,ENST00000635956
LACTB2,ENST00000276590,ENST00000276590
LAGE3,ENST00000357360,ENST00000357360
LAPTM4A,ENST00000175091,ENST00000175091
LBHD1,ENST00000532208,
LDHA,ENST00000625635,ENST00000625635
LDHB,ENST00000350669,ENST00000350669
LMAN1,,ENST00000587940
LMAN2,"ENST00000506310
ENST00000513877","ENST00000506310
ENST00000513877"
LMNB2,ENST00000475819,ENST00000475819
LMO4,ENST00000370542,ENST00000370542
LRR1,ENST00000318317,ENST00000318317
LRRC14,ENST00000292524,
LSM2,ENST00000475835,ENST00000475835
LSM3,ENST00000306024,ENST00000306024
LSM4,ENST00000252816,ENST00000252816
LSM5,ENST00000409909,ENST00000409909
LSM6,ENST00000502781,ENST00000502781
LSM8,ENST00000249299,ENST00000249299
LUC7L2,ENST00000541170,ENST00000541170
LUC7L3,ENST00000625349,ENST00000625349
LUZP6,ENST00000589735,ENST00000589735
LYPLA1,ENST00000618741,ENST00000618741
MAD2L1,ENST00000296509,ENST00000296509
MAD2L1BP,ENST00000508232,ENST00000508232
MAGED1,ENST00000326587,ENST00000326587
MAGOH,ENST00000371470,ENST00000371470
MAIP1,ENST00000295079,ENST00000295079
MAPK1IP1L,ENST00000553976,ENST00000553976
MAPRE1,,ENST00000375571
MARCKSL1,ENST00000329421,ENST00000329421
MAT2A,ENST00000490878,ENST00000490878
MAZ,ENST00000563402,ENST00000563402
MCM2,ENST00000472731,
MCM3,ENST00000421471,ENST00000421471
MCM6,ENST00000264156,ENST00000264156
MCTS1,ENST00000371317,ENST00000371317
MDH1,ENST00000409476,ENST00000409476
MDH2,ENST00000443006,ENST00000443006
ME1,ENST00000369705,
MEA1,ENST00000244711,ENST00000244711
MED11,ENST00000293777,ENST00000293777
MED4,ENST00000378586,ENST00000378586
MESD,ENST00000261758,ENST00000261758
METAP2,ENST00000549808,ENST00000549808
MGST3,ENST00000460632,ENST00000460632
MIF,ENST00000215754,ENST00000215754
MINOS1,ENST00000322753,ENST00000322753
MIR1181,ENST00000408639,ENST00000408639
MIR222HG,ENST00000602461,ENST00000602461
MIR3652,ENST00000579335,ENST00000579335
MIR3940,ENST00000579148,ENST00000579148
MIR4444-1,ENST00000581696,
MIR4444-2,ENST00000584390,
MIR4700,ENST00000578311,ENST00000578311
MIR4721,ENST00000577590,ENST00000577590
MIR632,ENST00000385193,ENST00000385193
MIR7705,ENST00000614758,ENST00000614758
MLF2,ENST00000537126,ENST00000537126
MMADHC,ENST00000460311,ENST00000460311
MORF4L2,ENST00000423833,ENST00000423833
MPC2,ENST00000367846,ENST00000367846
MPG,ENST00000475280,ENST00000475280
MPHOSPH6,ENST00000258169,ENST00000258169
MPLKIP,ENST00000306984,
MRFAP1,ENST00000382581,ENST00000382581
MRPL1,ENST00000515625,ENST00000515625
MRPL12,ENST00000333676,ENST00000333676
MRPL13,ENST00000306185,ENST00000306185
MRPL14,ENST00000372014,ENST00000372014
MRPL15,ENST00000260102,ENST00000260102
MRPL16,ENST00000300151,ENST00000300151
MRPL17,ENST00000288937,ENST00000288937
MRPL20,ENST00000493287,ENST00000493287
MRPL22,,ENST00000523037
MRPL23,ENST00000397298,ENST00000397298
MRPL3,ENST00000264995,ENST00000264995
MRPL32,ENST00000496564,ENST00000496564
MRPL33,ENST00000296102,ENST00000296102
MRPL35,ENST00000337109,ENST00000337109
MRPL37,ENST00000360840,ENST00000360840
MRPL38,ENST00000309352,ENST00000309352
MRPL4,ENST00000592514,ENST00000592514
MRPL40,ENST00000333130,ENST00000333130
MRPL41,ENST00000371443,ENST00000371443
MRPL50,ENST00000374865,ENST00000374865
MRPL51,ENST00000537701,ENST00000537701
MRPL52,,ENST00000355151
MRPL54,ENST00000330133,ENST00000330133
MRPL55,ENST00000336300,
MRPL9,ENST00000468006,ENST00000468006
MRPS11,ENST00000325844,ENST00000325844
MRPS14,ENST00000476371,ENST00000476371
MRPS15,ENST00000373116,ENST00000373116
MRPS17,ENST00000285298,ENST00000285298
MRPS21,ENST00000581066,ENST00000581066
MRPS23,ENST00000313608,ENST00000313608
MRPS25,,ENST00000253686
MRPS26,ENST00000380325,ENST00000380325
MRPS28,,ENST00000521434
MRPS33,ENST00000484502,
