gene,invivo,invitro
RPS27,ENST00000368567,ENST00000368567
RPS27A,ENST00000404735,ENST00000404735
RPS27L,ENST00000462430,ENST00000635699
RPS29,ENST00000245458,ENST00000245458
RPS3,ENST00000531188,ENST00000531188
RPS3A,ENST00000274065,ENST00000274065
RPS4X,ENST00000316084,ENST00000316084
RPS5,ENST00000601521,ENST00000601521
RPS6,ENST00000380394,ENST00000380394
RPS7,ENST00000304921,ENST00000304921
RPS8,ENST00000396651,ENST00000396651
RPS9,ENST00000302907,ENST00000302907
RRN3,ENST00000429751,ENST00000429751
RRP7A,ENST00000323013,ENST00000323013
RSL1D1,ENST00000573791,ENST00000573791
RSL24D1,ENST00000260443,ENST00000260443
RTCA,ENST00000370128,ENST00000370128
RTCB,ENST00000485373,ENST00000485373
RTFDC1,ENST00000357348,ENST00000357348
RUVBL1,ENST00000322623,ENST00000322623
S100A13,ENST00000440685,
SAR1A,ENST00000373241,ENST00000373241
SARS,ENST00000471705,ENST00000471705
SCD,ENST00000370355,ENST00000370355
SCO2,ENST00000395693,ENST00000395693
SDC2,ENST00000522911,ENST00000522911
SEC61B,ENST00000223641,ENST00000223641
SEC61G,ENST00000415949,ENST00000415949
SELENOF,ENST00000331835,ENST00000331835
SELENOK,ENST00000495461,ENST00000495461
SELENOS,ENST00000526049,ENST00000526049
SEM1,,ENST00000476463
SEPHS2,ENST00000478753,ENST00000478753
SEPT2,ENST00000421717,
SEPT7,ENST00000350320,ENST00000350320
SERBP1,ENST00000370995,ENST00000370995
SERF1A,ENST00000507348,ENST00000317633
SERF2,ENST00000249786,ENST00000249786
SERP1,,ENST00000487153
SET,ENST00000322030,ENST00000322030
SF3A3,ENST00000462258,ENST00000462258
SF3B1,ENST00000424674,ENST00000424674
SF3B5,ENST00000367569,ENST00000367569
SF3B6,ENST00000233468,ENST00000233468
SFPQ,ENST00000357214,ENST00000357214
SFT2D1,ENST00000494682,ENST00000494682
SKA2,,ENST00000580541
SKP2,ENST00000274254,ENST00000274254
SLC16A1,ENST00000478835,ENST00000478835
SLC25A3,ENST00000551265,ENST00000551265
SLC25A36,ENST00000446041,ENST00000446041
SLC25A39,ENST00000585523,ENST00000585523
SLC25A4,,ENST00000281456
SLC25A5,ENST00000317881,ENST00000317881
SLC38A2,"ENST00000547252
ENST00000612232","ENST00000547252
ENST00000612232"
SLC6A15,ENST00000309283,ENST00000309283
SLC7A5,ENST00000565644,ENST00000565644
SLIRP,ENST00000613856,ENST00000613856
SMARCE1,ENST00000478349,ENST00000478349
SMC4,ENST00000462787,ENST00000462787
SMIM15,ENST00000339020,ENST00000339020
SMIM26,ENST00000411646,ENST00000411646
SMIM30,ENST00000397764,ENST00000397764
SMIM4,,ENST00000477703
SMNDC1,ENST00000369592,ENST00000369592
SNAP29,ENST00000215730,
SND1,ENST00000486037,ENST00000486037
SNHG16,ENST00000591956,
SNHG19,ENST00000563192,ENST00000563192
SNHG25,ENST00000580828,ENST00000580828
SNHG5,ENST00000414002,ENST00000414002
SNHG6,ENST00000520944,ENST00000520944
SNHG7,ENST00000416970,ENST00000416970
SNHG8,ENST00000602520,ENST00000602520
SNHG9,ENST00000531523,ENST00000531523
SNORA10,ENST00000384084,ENST00000384084
SNORA67,ENST00000384423,ENST00000384423
SNORD110,ENST00000408189,
SNORD12,,ENST00000391002
SNORD12B,ENST00000410433,ENST00000410433
SNORD16,ENST00000362803,ENST00000362803
SNORD17,ENST00000390930,ENST00000390930
SNORD1C,ENST00000363315,ENST00000363315
SNORD21,ENST00000383953,ENST00000383953
SNORD22,ENST00000384756,ENST00000384756
SNORD26,ENST00000384147,
SNORD36A,ENST00000362874,
SNORD46,ENST00000364043,
SNORD52,ENST00000364884,
SNORD56,ENST00000413522,ENST00000413522
SNORD73A,ENST00000386062,
SNORD86,ENST00000391196,
SNORD96A,,ENST00000606577
SNORD99,ENST00000408612,ENST00000408612
SNRNP40,ENST00000474025,ENST00000474025
SNRPB,ENST00000381342,ENST00000381342
SNRPB2,ENST00000246071,ENST00000246071
SNRPC,ENST00000244520,ENST00000244520
SNRPD1,ENST00000300413,ENST00000300413
SNRPD2,ENST00000588301,ENST00000588301
SNRPD3,ENST00000215829,ENST00000215829
SNRPE,ENST00000414487,ENST00000414487
SNRPF,ENST00000266735,ENST00000266735
SNRPG,ENST00000272348,ENST00000272348
SNU13,ENST00000402458,ENST00000402458
SNX4,ENST00000251775,ENST00000251775
SOD1,ENST00000270142,ENST00000270142
SPAG7,ENST00000571023,
SPC25,ENST00000479309,ENST00000479309
SPCS1,ENST00000423431,ENST00000423431
SPCS2,ENST00000263672,ENST00000263672
SPDL1,ENST00000505977,ENST00000505977
SPG21,ENST00000204566,
SPTLC1,ENST00000482632,ENST00000482632
SPTSSA,ENST00000298130,ENST00000298130
SRD5A3,ENST00000514398,ENST00000514398
SRI,ENST00000490437,ENST00000490437
SRM,ENST00000487300,ENST00000487300
SRP14,ENST00000559081,ENST00000559081
SRP19,ENST00000282999,ENST00000282999
SRP9,ENST00000626563,ENST00000626563
SRPRB,ENST00000484684,ENST00000484684
SRRM2,ENST00000576674,ENST00000576674
SRSF11,ENST00000461935,ENST00000461935
SRSF3,ENST00000373715,ENST00000373715
SRSF5,,ENST00000553548
SRSF6,ENST00000244020,ENST00000244020
SRSF7,ENST00000409276,ENST00000409276
SRSF9,ENST00000229390,ENST00000229390
SSB,ENST00000260956,ENST00000260956
SSBP1,ENST00000265304,ENST00000265304
SSR1,,ENST00000479485
SSR2,ENST00000531917,ENST00000531917
SSR4,ENST00000370086,ENST00000370086
SSSCA1,ENST00000309328,ENST00000309328
ST20-MTHFS,ENST00000615374,ENST00000615374
STAG2,ENST00000371160,ENST00000371160
STARD3NL,ENST00000396013,ENST00000396013
STMN1,ENST00000446334,ENST00000446334
STOML2,ENST00000356493,ENST00000356493
STT3B,,ENST00000423527
SUB1,ENST00000506237,ENST00000506237
SUCLG1,ENST00000488234,ENST00000488234
SUMO1,ENST00000469034,ENST00000469034
SUMO2,ENST00000420826,ENST00000420826
SUPT4H1,ENST00000580947,ENST00000580947
SURF2,ENST00000495524,ENST00000495524
SYNJ2BP-COX16,ENST00000555276,ENST00000555276
SYPL1,ENST00000464029,ENST00000464029
TAF15,ENST00000604694,
TAF9B,ENST00000341864,ENST00000341864
TARBP1,ENST00000483404,ENST00000483404
TARDBP,"ENST00000611008
ENST00000610369",ENST00000240185
TBCA,ENST00000522370,ENST00000522370
TCEAL8,ENST00000372685,ENST00000372685
TCEAL9,ENST00000372661,ENST00000372661
TCERG1,,ENST00000296702
TGDS,ENST00000498294,ENST00000498294
THOC3,ENST00000514861,ENST00000514861
TIMM10,ENST00000257245,ENST00000257245
TIMM10B,ENST00000254616,
TIMM13,ENST00000215570,ENST00000215570
TIMM17A,ENST00000367287,ENST00000367287
TIMM23,ENST00000580018,ENST00000580018
TIMM8B,ENST00000504148,ENST00000504148
TMA7,ENST00000438607,ENST00000438607
TMED2,ENST00000262225,ENST00000262225
TMED3,ENST00000558562,ENST00000558562
TMED7,ENST00000456936,ENST00000456936
TMED9,,ENST00000507578
TMEM106C,,ENST00000547682
TMEM14A,ENST00000211314,ENST00000211314
TMEM14B,ENST00000473276,ENST00000473276
TMEM14C,ENST00000541412,ENST00000541412
TMEM160,ENST00000253047,ENST00000253047
TMEM165,,ENST00000514904
TMEM223,ENST00000525631,ENST00000525631
TMEM230,ENST00000612323,
TMEM256,ENST00000302422,ENST00000302422
TMEM258,ENST00000537328,ENST00000537328
TMEM59,ENST00000470395,ENST00000470395
TMEM70,ENST00000520167,ENST00000520167
TMEM9,ENST00000367334,ENST00000367334
TMEM97,ENST00000582113,ENST00000582113
TMEM99,ENST00000301665,
TMPO,ENST00000556678,ENST00000556678
TMSB10,ENST00000233143,ENST00000233143
TMSB15A,ENST00000289373,ENST00000289373
TMX1,ENST00000457354,ENST00000457354
TOMM20,ENST00000366607,ENST00000366607
TOMM22,ENST00000216034,ENST00000216034
TOMM5,ENST00000321301,ENST00000321301
TOMM6,ENST00000398884,ENST00000398884
TOMM7,ENST00000358435,ENST00000358435
TOP2A,ENST00000423485,ENST00000423485
TOR3A,ENST00000367627,ENST00000367627
TPI1,ENST00000613953,ENST00000613953
TPRKB,ENST00000485758,ENST00000485758
TPT1,ENST00000530705,ENST00000530705
TRA2A,ENST00000474586,ENST00000474586
TRA2B,ENST00000414862,ENST00000414862
TRAF4,ENST00000262395,ENST00000262395
TRAM1,ENST00000520700,ENST00000520700
TRIAP1,ENST00000546954,ENST00000546954
TRIP13,ENST00000513435,"ENST00000508430
ENST00000513435"
TRMT10C,ENST00000309922,ENST00000309922
TRMT112,ENST00000544844,ENST00000544844
TSFM,ENST00000548851,
TSG101,,ENST00000251968
TSPAN3,ENST00000558394,ENST00000558394
TUBA1B,ENST00000549870,ENST00000549870
TUBB,ENST00000327892,ENST00000327892
TUBB2A,,ENST00000333628
TUBE1,ENST00000368662,
TUSC1,ENST00000358022,ENST00000358022
TXN,ENST00000374517,ENST00000374517
TXNDC12,ENST00000471493,ENST00000471493
TXNDC17,ENST00000250101,ENST00000250101
TXNDC9,,ENST00000264255
UBA2,ENST00000588585,ENST00000588585
UBA52,ENST00000442744,ENST00000442744
UBAC1,ENST00000371756,ENST00000371756
UBAP2L,ENST00000613315,
UBB,ENST00000302182,ENST00000302182
UBC,ENST00000339647,ENST00000339647
UBE2B,ENST00000506787,ENST00000265339
UBE2E3,ENST00000410062,ENST00000410062
UBE2G1,ENST00000396981,
UBE2I,ENST00000325437,
UBE2T,ENST00000367274,ENST00000367274
UBL4A,ENST00000369653,ENST00000369653
UBL5,ENST00000358666,ENST00000358666
UBP1,ENST00000283629,
UBQLN4,ENST00000368309,
UCHL1,,ENST00000514924
UCHL5,ENST00000420791,ENST00000420791
UCK2,"ENST00000464197
ENST00000470820","ENST00000464197
ENST00000470820"
UFD1,ENST00000263202,ENST00000263202
UFM1,ENST00000437952,ENST00000437952
UQCC2,ENST00000607484,ENST00000607484
UQCR10,ENST00000401406,ENST00000401406
UQCR11,"ENST00000593264
ENST00000585671","ENST00000593264
ENST00000585671"
UQCRB,ENST00000287022,ENST00000287022
UQCRC1,ENST00000493806,ENST00000493806
UQCRC2,,ENST00000618892
UQCRFS1,ENST00000304863,ENST00000304863
UQCRH,ENST00000311672,ENST00000311672
UQCRQ,ENST00000378670,ENST00000378667
URB2,ENST00000258243,ENST00000258243
UROD,ENST00000636293,
UROS,ENST00000420761,ENST00000420761
USMG5,ENST00000309579,ENST00000309579
UTP14A,ENST00000425117,ENST00000425117
UTP18,ENST00000583725,ENST00000583725
UXT,ENST00000460840,ENST00000460840
VAPA,,ENST00000400000
VARS,ENST00000428445,ENST00000428445
VBP1,ENST00000286428,ENST00000286428
VKORC1,ENST00000394971,
VPS29,ENST00000360579,
VPS35,ENST00000568642,ENST00000568642
VRK1,ENST00000557352,"ENST00000555402
ENST00000557352"
WDR61,ENST00000560807,ENST00000560807
WDR77,ENST00000235090,ENST00000235090
WDR83OS,ENST00000596731,ENST00000596731
XIST,ENST00000429829,ENST00000429829
XPO1,ENST00000494468,ENST00000494468
XPO5,ENST00000265351,ENST00000265351
XRCC5,ENST00000392132,ENST00000392132
XRCC6,ENST00000360079,ENST00000360079
YAE1D1,ENST00000223273,ENST00000223273
YBX1,ENST00000321358,ENST00000321358
YBX3,ENST00000540975,ENST00000540975
YEATS4,ENST00000247843,ENST00000247843
YTHDF1,ENST00000370334,ENST00000370334
YWHAE,ENST00000264335,ENST00000264335
YWHAQ,ENST00000238081,ENST00000238081
YWHAZ,ENST00000522819,ENST00000522819
ZDHHC6,ENST00000369405,ENST00000369405
ZFAS1,ENST00000417721,ENST00000417721
ZIC2,ENST00000376335,ENST00000376335
ZMPSTE24,ENST00000472583,ENST00000472583
ZNF207,ENST00000580759,ENST00000580759
ZNF22,ENST00000298299,ENST00000298299
ZNF32,ENST00000374433,ENST00000374433
ZNF330,,ENST00000262990
ZNF622,,ENST00000308683
ZNF768,ENST00000562803,ENST00000562803
ZNHIT3,ENST00000617429,ENST00000617429
ZNHIT6,ENST00000431532,
ZRANB2,ENST00000487510,ENST00000487510
ZUFSP,"ENST00000471919
ENST00000368573","ENST00000471919
ENST00000368573"
snoU2_19,ENST00000364329,ENST00000364329
